DETAIL_ID,EXHIBIT_ID,TYPE,NAME,VALUE,SUB_VALUE,OPEN_YN,REG_DT,REG_ID,UP_DT,UP_ID
"7,981","1,954",E,크기,30㎜,,Y,12-21-2015 00:00:00,superadmin,,
"7,982","1,954",E,채집일,42003,,Y,12-21-2015 00:00:00,superadmin,,
"7,983","1,955",E,학명,Glycine max ,,Y,12-21-2015 00:00:00,superadmin,,
"7,984","1,955",E,영명,soybean ,,Y,12-21-2015 00:00:00,superadmin,,
"7,985","1,955",E,과명,콩과,,Y,12-21-2015 00:00:00,superadmin,,
"7,986","1,955",E,목명,콩목,,Y,12-21-2015 00:00:00,superadmin,,
"7,987","1,955",E,크기,30㎜,,Y,12-21-2015 00:00:00,superadmin,,
"7,988","1,955",E,채집일,42003,,Y,12-21-2015 00:00:00,superadmin,,
"17,571","2,532",E,영명,boxy-spotted trunkfish,,Y,11-25-2016 13:57:12,scicenter,,
"17,572","2,532",E,분포,"제주도, 일본남부, 인도, 서태평양",,Y,11-25-2016 13:57:12,scicenter,,
"16,920","4,197",E,원산지,한국,,Y,11-22-2016 09:37:45,scicenter,,
"16,921","4,197",E,크기,중형,,Y,11-22-2016 09:37:45,scicenter,,
"16,942","4,191",E,서식지,"아프리카,아시아,남아메리카,유럽,러시아,미국",,Y,11-22-2016 09:42:21,scicenter,,
"16,943","4,191",E,수명,40~50년,,Y,11-22-2016 09:42:21,scicenter,,
"16,954","4,187",E,크기,82~130cm,,Y,11-22-2016 09:43:49,scicenter,,
"16,922","4,197",E,체중,15~20kg,,Y,11-22-2016 09:37:45,scicenter,,
"16,923","4,197",E,수명,10~15년,,Y,11-22-2016 09:37:45,scicenter,,
"16,944","4,191",E,먹이,초식,,Y,11-22-2016 09:42:21,scicenter,,
"16,955","4,187",E,수명,17년,,Y,11-22-2016 09:43:49,scicenter,,
"16,956","4,187",E,먹이,"초식성(잔가지,관목,초목,견과류)",,Y,11-22-2016 09:43:49,scicenter,,
"16,953","4,187",E,서식지,경사가 높고 암벽으로 이루이진 숲,,Y,11-22-2016 09:43:49,scicenter,,
"17,013","4,167",E,서식지,"터키,시리아,이란",,Y,11-22-2016 09:58:57,scicenter,,
"17,014","4,167",E,크기,성체시 2~4cm,,Y,11-22-2016 09:58:57,scicenter,,
"17,015","4,167",E,수명,1~2년,,Y,11-22-2016 09:58:57,scicenter,,
"16,985","4,174",E,서식지,"아메리카,남아메리카,아프리카",,Y,11-22-2016 09:53:23,scicenter,,
"16,965","4,182",E,서식지,"남아메리카,멕시코",,Y,11-22-2016 09:45:30,scicenter,,
"16,966","4,182",E,크기,"몸길이가 30~50cm, 몸무게 : 0.5~1kg",,Y,11-22-2016 09:45:30,scicenter,,
"16,967","4,182",E,수명,10~20년,,Y,11-22-2016 09:45:30,scicenter,,
"16,968","4,182",E,먹이,초식성의 잡식,,Y,11-22-2016 09:45:30,scicenter,,
"17,570","2,532",E,학명,Ostracion cubicus Linnaeus,,Y,11-25-2016 13:57:12,scicenter,,
"16,986","4,174",E,크기,10~20cm,,Y,11-22-2016 09:53:23,scicenter,,
"16,987","4,174",E,수명,10년 이상,,Y,11-22-2016 09:53:23,scicenter,,
"16,988","4,174",E,먹이,서식지,,Y,11-22-2016 09:53:23,scicenter,,
"16,099",583,E,영명,Asterias amurensis,,Y,11-17-2016 15:31:06,scicenter,,
"15,972",601,E,학명,Cypraeidae,,Y,11-17-2016 15:14:26,scicenter,,
"15,973",601,E,영명,Cypraeidae,,Y,11-17-2016 15:14:26,scicenter,,
"15,974",601,E,과명,개오지과,,Y,11-17-2016 15:14:26,scicenter,,
"15,975",601,E,목명,중복족목,,Y,11-17-2016 15:14:26,scicenter,,
"15,976",601,E,크기,48㎜×22㎜×17㎜,,Y,11-17-2016 15:14:26,scicenter,,
"7,880","1,937",E,용도/기능,콩을 직접만져 볼 수 있는 체험코너,,Y,12-21-2015 00:00:00,superadmin,,
"15,977",601,E,채집일,2014.03.28,,Y,11-17-2016 15:14:26,scicenter,,
"15,978",601,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:14:26,scicenter,,
"16,098",583,E,학명,Asterias amurensis,,Y,11-17-2016 15:31:06,scicenter,,
"16,100",583,E,과명,불가사릿과,,Y,11-17-2016 15:31:06,scicenter,,
"16,101",583,E,목명,차극목,,Y,11-17-2016 15:31:06,scicenter,,
"16,102",583,E,크기,32㎜×4㎜×20㎜,,Y,11-17-2016 15:31:06,scicenter,,
"16,103",583,E,채집일,2014.03.28,,Y,11-17-2016 15:31:06,scicenter,,
"16,104",583,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:31:06,scicenter,,
"16,189",570,E,학명,Oplegnathus fasciatus,,Y,11-17-2016 15:34:02,scicenter,,
"16,190",570,E,영명,striped beakperch,,Y,11-17-2016 15:34:02,scicenter,,
"16,191",570,E,과명,돌돔과농어목,,Y,11-17-2016 15:34:02,scicenter,,
"16,192",570,E,크기,42㎜×35㎜×37㎜,,Y,11-17-2016 15:34:02,scicenter,,
"16,193",570,E,채집일,2014.03.28,,Y,11-17-2016 15:34:02,scicenter,,
"16,194",570,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:34:02,scicenter,,
"16,209",603,E,학명,Tridacna gigas,,Y,11-17-2016 15:36:40,scicenter,,
"16,210",603,E,영명,Giant clam,,Y,11-17-2016 15:36:40,scicenter,,
"16,211",603,E,과명,조개과,,Y,11-17-2016 15:36:40,scicenter,,
"16,212",603,E,목명,백합목,,Y,11-17-2016 15:36:40,scicenter,,
"16,213",603,E,크기,48㎜×10㎜×18㎜,,Y,11-17-2016 15:36:40,scicenter,,
"16,214",603,E,채집일,2014.03.28,,Y,11-17-2016 15:36:40,scicenter,,
"16,215",603,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:36:40,scicenter,,
"17,224","1,699",E,제조사,TBWA,,Y,11-22-2016 15:35:12,scicenter,,
"17,225","1,699",E,국적,한국,,Y,11-22-2016 15:35:12,scicenter,,
"17,374","2,584",E,학명,Iksookimia rotundicaudata,,Y,11-25-2016 11:04:17,scicenter,,
"17,375","2,584",E,영명,White nose loach,,Y,11-25-2016 11:04:17,scicenter,,
"17,376","2,584",E,방언,White nose loach,,Y,11-25-2016 11:04:17,scicenter,,
"16,250","2,624",E,영명,Limestone,,,11-21-2016 10:49:11,scicenter,,
"17,377","2,584",E,분포,우리 나라 고유종이면서 희귀종으로 한강과 낙동강 수계에 살지만 낙동강에 사는 종류의 몸 색깔과 무늬가 달라 주목된다,,Y,11-25-2016 11:04:17,scicenter,,
"17,393","2,579",E,학명,"Zacco temmincki (TEMMINCK and SCHLEGEL, 1846)",,Y,11-25-2016 11:06:09,scicenter,,
"17,394","2,579",E,영명,Dark chub,,Y,11-25-2016 11:06:09,scicenter,,
"17,395","2,579",E,방언,"불지네, 왕눈이",,Y,11-25-2016 11:06:09,scicenter,,
"17,396","2,579",E,분포,"영동북부를 제외한 전 하천과 섬 지역의 담수, 중국, 일본",,Y,11-25-2016 11:06:09,scicenter,,
"17,397","2,578",E,학명,"Rhodeus uyekii (MORI, 1935)",,Y,11-25-2016 11:06:33,scicenter,,
"17,398","2,578",E,영명,Korean rose bittering,,Y,11-25-2016 11:06:33,scicenter,,
"17,217","1,062",E,제조사,㈜전시과학,,Y,11-22-2016 15:31:48,scicenter,,
"17,226","1,699",E,크기,"7,400㎜×2,000㎜/ 4,790㎜",,Y,11-22-2016 15:35:12,scicenter,,
"17,227","1,699",E,용도/기능,광섬유와 터치스크린을 이용한 전하늘 별자리 구현,,Y,11-22-2016 15:35:12,scicenter,,
"17,218","1,062",E,국적,한국,,Y,11-22-2016 15:31:48,scicenter,,
"17,219","1,062",E,재질,철재혼합,,Y,11-22-2016 15:31:48,scicenter,,
"17,220","1,062",E,크기,175㎝×265㎝×365㎝,,Y,11-22-2016 15:31:48,scicenter,,
"17,221","1,062",E,제조연대,2011년,,Y,11-22-2016 15:31:48,scicenter,,
"17,222","1,062",E,용도/기능,발전 원리 탐구,,Y,11-22-2016 15:31:48,scicenter,,
"17,233","1,696",E,제조연대,2014년,,Y,11-22-2016 15:37:27,scicenter,,
"17,234","1,696",E,제조사,㈜피엔,,Y,11-22-2016 15:37:27,scicenter,,
"17,223","1,699",E,제조연대,2014년,,Y,11-22-2016 15:35:12,scicenter,,
"17,235","1,696",E,국적,한국,,Y,11-22-2016 15:37:27,scicenter,,
"17,236","1,696",E,재질,알루미늄 등,,Y,11-22-2016 15:37:27,scicenter,,
"17,237","1,696",E,크기,"4,200㎜",,Y,11-22-2016 15:37:27,scicenter,,
"17,238","1,696",E,용도/기능,원심력을 대형사이클레일 위 자전거에서 느껴볼 수 있는 코너,,Y,11-22-2016 15:37:27,scicenter,,
"17,241","2,278",E,국적,한국,,Y,11-22-2016 17:26:26,scicenter,,
"17,399","2,578",E,방언,"남방돌납지리, 꽃붕어, 납작붕어, 비단붕어, 오색붕어등",,Y,11-25-2016 11:06:33,scicenter,,
"17,400","2,578",E,분포,서해와 남해로 흐르는 각 하천에 사는 우리 나라 고유종이다,,Y,11-25-2016 11:06:33,scicenter,,
"17,419","2,571",E,영명,Coral reef,,Y,11-25-2016 11:09:26,scicenter,,
"17,420","2,571",E,학명,Lophelia pertusa,,Y,11-25-2016 11:09:26,scicenter,,
