단지명,회사명,공장대표주소,업종명,데이터기준일자
강진환경산업단지,주식회사 로우카본,"전라남도 강진군 성전면 강진산단로2길 127, 주식회사 로우카본",그 외 기타 분류 안된 화학제품 제조업 외 1종,2025-09-08
개별입지,주식회사 민국산업,전라남도 강진군 칠량면 청자로 446,일반 제재업 외 2종,2025-09-08
강진칠량농공단지,주식회사 바다나라,전라남도 강진군 칠량면 청자로 656-25,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,주식회사 바다해초,전라남도 강진군 마량면 까막섬로 200,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,주식회사 시온테크닉스,전라남도 강진군 강진읍 덕남로 87,그 외 기타 금속가공업 외 7종,2025-09-08
개별입지,주식회사 아이엠팜사료,전라남도 강진군 성전면 도림로 32,반려동물용 사료 제조업 외 2종,2025-09-08
개별입지,주식회사 일지,전라남도 강진군 칠량면 칠량옹기로 107,가정용 및 장식용 도자기 제조업,2025-09-08
개별입지,주식회사 지에스엘바이오 강진배양센터,전라남도 강진군 강진읍 해강로 1022-28,반려동물용 사료 제조업 외 4종,2025-09-08
강진환경산업단지,주식회사 진성이앤씨,전라남도 강진군 성전면 강진산단로2길 109,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,2025-09-08
개별입지,주식회사 힘찬레미콘,"전라남도 강진군 성전면 강진산단로 158-26, .",레미콘 제조업,2025-09-08
개별입지,주식회사신화레미콘,전라남도 강진군 성전면 월평리 1225-11번지,레미콘 제조업,2025-09-08
개별입지,중앙산업,전라남도 강진군 성전면 별뫼로 58,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
강진칠량농공단지,진 영어조합법인 강진지점,전라남도 강진군 칠량면 송로리 1180-2번지,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,천지해영어조합법인,전라남도 강진군 군동면 백금포길 36-24,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,청림농원영농조합법인,전라남도 강진군 강진읍 목화길 15,기타 과실ㆍ채소 가공 및 저장 처리업,2025-09-08
개별입지,청자골 한우리 영농조합법인,전라남도 강진군 군동면 시목길 25 (총 5 필지),곡물 도정업 외 1종,2025-09-08
개별입지,청자골비취(米),전라남도 강진군 칠량면 청자로 778-7,곡물 도정업,2025-09-08
개별입지,탐진기와,전라남도 강진군 칠량면 청자로 755-15,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1종",2025-09-08
개별입지,푸른수산,전라남도 강진군 강진읍 신학길 3-14,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,풍수수산,전라남도 강진군 신전면 해안관광로 89,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,풍진산업,전라남도 강진군 도암면 석문리 1178번지,그 외 기타 분류 안된 섬유제품 제조업,2025-09-08
개별입지,합동철공소,전라남도 강진군 강진읍 동성리 154-4번지,금속탱크 및 저장용기 제조업 외 1종,2025-09-08
강진마량농공단지,해광식품,전라남도 강진군 마량면 마량공단길 27-3,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,해마상사2공장,전라남도 강진군 강진읍 중앙로 106,"근무복, 작업복 및 유사의복 제조업 외 2종",2025-09-08
개별입지,형제스톤,전라남도 강진군 강진읍 강진공단길 34-9,건설용 석제품 제조업 외 1종,2025-09-08
강진마량농공단지,화수식품,전라남도 강진군 마량면 서중길 72 (총 3 필지),수산식물 가공 및 저장 처리업,2025-09-08
개별입지,화인산업,전라남도 강진군 칠량면 영복리 436번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종",2025-09-08
개별입지,황금물산,전라남도 강진군 대구면 청자로 2068-18,수산식물 가공 및 저장 처리업 외 3종,2025-09-08
