기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2022,탄탈륨,베트남,0,0,0,0
2022,탄탈륨,브라질,0,0,0,0
2022,탄탈륨,중국,0,0,0,54
2022,탄탈륨,케냐,,,,
2021,니오븀,독일,,,0,0
2021,니오븀,미국,0,0,,
2021,니오븀,슬로베니아,0,0,,
2021,니오븀,중국,0,0,0,0
2022,니오븀,독일,0,0,0,1
2022,니오븀,미국,,,,
2022,니오븀,슬로베니아,,,,
2022,니오븀,중국,0,0,0,23
2021,바나듐,베트남,5742,5004,0,0
2021,바나듐,인도,253,152,0,0
2021,바나듐,캄보디아,692,642,0,0
2021,바나듐,캐나다,,,,
2021,바나듐,태국,1263,1089,0,0
2022,바나듐,베트남,2249,3187,0,0
2022,바나듐,인도,60,17,0,0
2022,바나듐,캄보디아,126,130,0,0
2022,바나듐,캐나다,0,0,108,145
2022,바나듐,태국,1031,1182,0,0
2021,토상흑연,대만,0,0,0,31
2021,토상흑연,독일,0,0,123,611
2021,토상흑연,말레이시아,,,,
2021,토상흑연,멕시코,,,,
2021,토상흑연,미국,0,0,1163,7483
2021,토상흑연,방글라데시,,,,
2021,토상흑연,베트남,1,15,0,0
2021,토상흑연,스리랑카,0,0,171,580
2021,토상흑연,스웨덴,0,0,0,0
2021,토상흑연,스페인,,,,
2021,토상흑연,싱가포르,,,,
2021,토상흑연,UAE,0,0,0,0
2021,토상흑연,영국,0,0,32,197
2021,토상흑연,오스트리아,0,0,2,12
2021,토상흑연,이탈리아,0,0,0,0
2021,토상흑연,인도,1,9,0,0
2021,토상흑연,인도네시아,7,4,0,0
2021,토상흑연,일본,0,0,121,390
2021,토상흑연,중국,309,922,39448,85453
2021,토상흑연,체코공화국,0,0,0,0
2021,토상흑연,캐나다,0,0,0,2
2021,토상흑연,태국,22,35,0,0
2021,토상흑연,튀르키예,,,,
2021,토상흑연,폴란드,0,0,0,0
2021,토상흑연,프랑스,0,0,0,0
2021,토상흑연,호주,0,0,0,0
2021,토상흑연,홍콩,0,0,0,0
2022,토상흑연,대만,0,0,0,30
2022,토상흑연,독일,0,0,89,453
2022,토상흑연,말레이시아,0,0,0,0
2022,토상흑연,멕시코,0,0,0,0
2022,토상흑연,미국,0,6,727,4888
2022,토상흑연,방글라데시,0,2,0,0
2022,토상흑연,베트남,2,55,0,0
2022,토상흑연,스리랑카,0,0,135,483
2022,토상흑연,스웨덴,0,0,0,0
2022,토상흑연,스페인,0,0,0,1
2022,토상흑연,싱가포르,0,0,0,0
2022,토상흑연,UAE,,,,
2022,토상흑연,영국,0,0,41,153
2022,토상흑연,오스트리아,0,0,1,6
2022,토상흑연,이탈리아,,,,
2022,토상흑연,인도,1,2,2,2
2022,토상흑연,인도네시아,8,12,0,0
2022,토상흑연,일본,0,0,118,363
2022,토상흑연,중국,98,722,34927,106150
2022,토상흑연,체코공화국,0,0,0,1
2022,토상흑연,캐나다,0,0,0,1
2022,토상흑연,태국,2,10,0,0
2022,토상흑연,튀르키예,0,0,0,0
2022,토상흑연,폴란드,,,,
2022,토상흑연,프랑스,,,,
2022,토상흑연,호주,0,0,0,0
2022,토상흑연,홍콩,,,,
2021,인상흑연,대만,0,113,0,0
2021,인상흑연,독일,0,0,1104,3578
2021,인상흑연,마다가스카르,0,0,18,9
2021,인상흑연,말레이시아,,,,
2021,인상흑연,모잠비크,,,,
2021,인상흑연,미국,0,0,9,54
2021,인상흑연,베트남,,,,
2021,인상흑연,브라질,0,0,101,291
2021,인상흑연,싱가포르,0,49,0,0
2021,인상흑연,영국,0,0,1,4
2021,인상흑연,오만,0,0,0,0
2021,인상흑연,오스트리아,0,0,2,8
2021,인상흑연,인도네시아,,,,
2021,인상흑연,일본,0,0,98,515
2021,인상흑연,중국,40,227,10047,11563
2021,인상흑연,캐나다,0,0,15,67
2021,인상흑연,태국,11,47,0,0
2021,인상흑연,프랑스,0,0,0,0
2021,인상흑연,핀란드,,,,
2022,인상흑연,대만,0,207,0,0
2022,인상흑연,독일,10,19,116,561
2022,인상흑연,마다가스카르,0,0,58,53
2022,인상흑연,말레이시아,0,0,0,0
2022,인상흑연,모잠비크,0,0,128,89
2022,인상흑연,미국,0,0,11,90
2022,인상흑연,베트남,0,87,0,0
2022,인상흑연,브라질,0,0,26,80
2022,인상흑연,싱가포르,0,26,0,0
2022,인상흑연,영국,0,0,2,7
2022,인상흑연,오만,,,,
2022,인상흑연,오스트리아,0,0,4,24
2022,인상흑연,인도네시아,0,1,0,0
2022,인상흑연,일본,0,0,80,348
2022,인상흑연,중국,73,415,11935,16931
2022,인상흑연,캐나다,0,0,25,123
2022,인상흑연,태국,0,0,0,0
2022,인상흑연,프랑스,0,0,0,0
2022,인상흑연,핀란드,0,0,8,11
2021,형석,남아프리카공화국,0,0,0,0
2021,형석,네덜란드,0,0,0,6
2021,형석,대 만,,,,
2021,형석,멕시코,0,0,22672,8537
2021,형석,모잠비크,0,0,0,0
2021,형석,몽 골,0,0,2702,939
2021,형석,미 국,0,0,0,3
2021,형석,베 트 남,0,0,0,0
2021,형석,스 웨 덴,0,0,13,47
2021,형석,싱가포르,0,0,0,0
2021,형석,아프가니스탄,0,0,1153,570
2021,형석,이탈리아,0,0,0,0
2021,형석,일 본,0,0,3250,1165
2021,형석,중 국,249,146,36256,16024
2021,형석,태국,0,0,0,0
2021,형석,파키스탄,0,0,13789,3510
