보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
굴진효과조사,1982,래장(동)광산굴진효과조사보고서,래장,"금,동,은","경상남도진주시지수면,경상남도함안군군북면",,82굴-006
굴진효과조사,1982,"신예미(연,아연)광산굴진효과조사보고서",신예미,"아연,연","강원도영월군상동읍,강원도정선군신동읍",,82굴-005
굴진효과조사,1982,"청송(금,은,동)광산굴진효과조사보고서",청송,"금,아연,연,은",경상북도청송군현동면,,82굴-004
굴진효과조사,1982,"상하(은,연,아연)광산굴진효과조사보고서",상하,"아연,연,은","경상북도경주시양남면,경상북도경주시양북면",,82굴-003
굴진효과조사,1982,연상한송(몰리브덴)광산굴진효과조사보고서,연상한송,몰리브덴,경상북도울진군온정면금천리,,82굴-002
굴진효과조사,1982,"연화광산(연,아연)굴진효과조사보고서",연화,"아연,연",경상북도봉화군소천면,,82굴-001
시추결과,1981,신원(활석)광산시추결과보고서,신원,활석,전라북도완주군소양면,,81시-005
시추결과,1981,동일(활석)광산시추결과보고서,동일,활석,경상북도울진군서면,"울진_114,울진_115",81시-004
시추결과,1981,동양(활석)광산시추결과보고서,동양,활석,충청북도충주시살미면,,81시-003
시추결과,1981,대동(활석)광산시추결과보고서,대동,활석,충청남도청양군청양읍,,81시-002
시추결과,1981,내일양(활석)광산시추결과보고서,내일양,활석,충청남도금산군진산면,,81시-001
기술조사,1981,봉정(석회석)광산기술조사보고서,봉정,석회석,강원도정선군임계면,,81의-030
기술조사,1981,창수(석회석)광산기술조사보고서,창수,석회석,경상북도영덕군창수면,"영양_005,영양_006,영양_015,영양_016",81의-029
기술조사,1981,대도(납석)광산기술조사보고서,대도,납석,전라남도완도군노화읍,,81의-028
기술조사,1981,충도(납석)광산기술조사보고서,충도,납석,전라남도완도군노화읍,,81의-027
기술조사,1981,면천(도석)광산기술조사보고서,면천,도석,충청남도당진시면천면성하리,해미_052,81의-026
기술조사,1981,무주(석회석)광산기술조사보고서,무주,백운석,"전라북도무주군안성면,전라북도무주군적상면",장기리_047,81의-025
기술조사,1981,단양(석회석)광산기술조사보고서,단양,석회석,"충청북도단양군매포읍,충청북도단양군어상천면",영춘_107,81의-024
기술조사,1981,"지암(장석,규석)광산기술조사보고서",지암,"규석,장석",강원도춘천시사북면,"춘천_111,춘천_121",81의-023
기술조사,1981,영월(석회석)광산기술조사보고서,영월,석회석,강원도영월군북면,"영월_003,영월_004,영월_005,영월_013,영월_014",81의-022
기술조사,1981,홍성(활석)광산기술조사보고서,홍성,활석,강원도홍천군서석면,풍암_035,81의-021
기술조사,1981,덕산(규석)광산기술조사보고서,덕산,규석,경기도양평군용문면,용두리_087,81의-020
기술조사,1981,가평(규석)광산기술조사보고서,가평,규석,경기도가평군북면,춘천_138,81의-019
기술조사,1981,화순(납석)광산기술조사보고서,화순,납석,"전라남도화순군남면,전라남도화순군동면",동복_120,81의-018
기술조사,1981,삼우(고령토)광산기술조사보고서,삼우,고령토,경상북도경주시양남면,감포_030,81의-017
