작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1987,대흥철(철)광산 물리탐사보고서,대흥철,"기타,철",경상북도 울진군 울진읍 ,"울진_101,울진_111",87물-001
1986,대덕(석탄)광산 물리탐사보고서,대덕,석탄,충청북도 단양군 가곡면 ,,86물-001
1986,"영중(금,은)광산 물리탐사보고서",영중,"금,동,은",경기도 포천시 영중면 ,"기산_121,기산_122,기산_123,기산_131,기산_132,기산_133,기산_141,기산_142,기산_143",86물-037
1986,"유금(금,은)광산 물리탐사보고서",유금,"금,동,아연,연,은",경상북도 영덕군 병곡면 ,"영해_063,영해_072",86물-036
1986,"울산(철,텅스텐)광산 물리탐사보고서",울산,"사문석,철,텅스텐",울산광역시 울주군  ,"울산_102,울산_103",86물-035
1986,"황금산(금,은)광산 물리탐사보고서",황금산,"금,동,아연,연,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ","낙동_122,낙동_123",86물-034
1986,"우성(금,은)광산 물리탐사보고서",우성,"금,은",충청남도 청양군 장평면 은곡리,청양_059,86물-033
1986,"삼호(금,은,동)광산 물리탐사보고서",삼호,"금,동,은",강원도 홍천군 홍천읍 삼마치리,양덕원_073,86물-032
1986,"신창(연,아연)광산 물리탐사보고서",신창,"금,아연,연,은",강원도 태백시 철암동 ,,86물-031
1986,"보익(금,은)광산 물리탐사보고서",보익,"금,은",경기도 양평군 단월면 삼가리,"용두리_050,이포_041",86물-030
1986,춘천삼당(철)광산 물리탐사보고서,춘천삼당,철,강원도 춘천시 사북면 고탄리,,86물-029
1986,"백은(금,은)광산 물리탐사보고서",백은,"금,은",강원도 평창군 대화면 ,"창동_089,창동_090",86물-028
1986,삼화철(철)광산 물리탐사보고서,삼화철,철,강원도 동해시 이기동 ,"삼척_132,삼척_141,삼척_142",86물-027
1986,송계(망간)광산 물리탐사보고서,송계,망간,강원도 원주시 신림면 ,신림_034,86물-026
