작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1991,"진부(금,은)광산 정밀조사보고서",진부,"금,은",강원도 평창군 진부면 ,"하진부_114,하진부_115",91정-032
1991,"양평(금,은)광산 정밀조사보고서",양평,"금,은",경기도 양평군 양동면 ,이포_002,91정-031
1991,"구암(금,은)광산 정밀조사보고서",구암,"금,은",강원도 태백시 철암동 ,장성_103,91정-030
1991,"동성(금,은)광산 정밀조사보고서",동성,"금,동,연,은",강원도 고성군 현내면 검장리,고성_077,91정-029
1991,"복내(구.용전,금,은)광산 정밀조사보고서",복내,금,전라남도 보성군 복내면 용전리,복내_068,91정-028
1991,"대장(금,은,연,아연)광산 정밀조사보고서",대장,"금,아연,연,은",경상남도 진양군 지수면 청원리,"의령_127,의령_128",91정-027
1991,"대성성주(구.봉명,금,은)광산 정밀조사보고서",대성성주,"금,동,아연,연,은","경상북도 성주군 수륜면 ,경상북도 성주군 수륜면 봉양리","지례_049,지례_050",91정-026
1991,"금실(금,은,연,아연)광산 정밀조사보고서",금실,"금,동,아연,연,은",충청북도 제천시 수산면 ,"황강리_033,황강리_043",91정-025
1991,"부론(금,은)광산 정밀조사보고서",부론,"금,은",강원도 원주시 부론면 ,문막_128,91정-024
1991,"유금(금,은,동,연,아연)광산 정밀조사보고서",유금,"금,동,아연,연,은",경상북도 영덕군 병곡면 ,"영해_063,영해_072",91정-023
1991,"두촌(금,은)광산 정밀조사보고서",두촌,"금,은",강원도 홍천군 두촌면 자은리,자은_127,91정-022
1991,"덕암(금,은)광산 정밀조사보고서",덕암,"금,은",강원도 정선군 임계면 덕암리,"임계_087,임계_097",91정-021
1991,"광암(금,은)광산 정밀조사보고서",광암,"금,동,연,은",강원도 홍천군 내촌면 광암리,자은_048,91정-020
1991,"백우(금,은)광산 정밀조사보고서",백우,"금,은",강원도 홍천군 내촌면 ,"풍암_091,풍암_092",91정-019
1991,"북동(금,은)광산 정밀조사보고서",북동,"금,은",강원도 횡성군 우천면 ,안흥_095,91정-018
1991,"도목동(금,은)광산 정밀조사보고서",도목동,"금,은",강원도 홍천군 두촌면 ,자은_135,91정-017
1991,"월유(금,은)광산 정밀조사보고서",월유,"금,은",충청북도 영동군 황간면 ,영동_067,91정-016
1991,"장재(금,은)광산 정밀조사보고서",장재,"금,은",경기도 양평군 양동면 ,이포_024,91정-015
1991,"방현(금,은)광산 정밀조사보고서",방현,"금,은",경상북도 봉화군 소천면 ,"춘양_007,춘양_008",91정-014
1991,"동양홍천(금,은,동,철)광산 정밀조사보고서",동양홍천,"금,동,은,철","강원도 인제군 남면 ,강원도 홍천군 두촌면 ","자은_088,자은_097,자은_098,자은_106,자은_107,자은_116",91정-013
1991,"수왕(금,은)광산 정밀조사보고서",수왕,"금,은",전라북도 무주군 설천면 소천리,"설천_119,설천_120,설천_129,설천_130",91정-012
1991,"금계(금,은)광산 정밀조사보고서",금계,"금,은",경기도 양평군 양동면 ,원주_143,91정-011
1991,"제천(연,아연)지구 정밀조사보고서",(제천지구),"아연,연","충청북도 단양군 적성면 ,충청북도 제천시 금성면 ","제천_017,제천_019,제천_057,제천_068",91정-010
1991,"영월(연,아연)지구 정밀조사보고서",(영월지구),"철,철","강원도 영월군 주천면 ,충청북도 제원군 수산면 ","신림_007,영월_147",91정-009
1991,"평창(연,아연)지구 정밀조사보고서",(평창지구),"아연,연","강원도 영월군  ,강원도 평창군  ",평창_107,91정-008
1991,"신림(연,아연)지구 정밀조사보고서",(신림지구),"아연,연","강원도 영월군 수주면 도원리,강원도 영월군 수주면 무릉리",,91정-007
1991,"예미(연,아연)지구 정밀조사보고서",(예미지구),"아연,연","강원도 정선군 신동면 ,강원도 정선군 정선읍 ",,91정-006
1991,"장성(연,아연)지구 정밀조사보고서",(장성지구),"아연,연","강원도 삼척시 가곡면 ,경상북도 봉화군 소천면 ",,91정-005
1991,"호명(연,아연)지구 정밀조사보고서",(호명지구),"아연,연",강원도 삼척시 하장면 ,,91정-004
1991,"울진(금,은)지구 정밀조사보고서",(울진지구),"금,동,아연,연,은,철,텅스텐","경상북도 영덕군 병곡면 ,경상북도 영덕군 창수면 ,경상북도 울진군 근남면 ,경상북도 울진군 원남면 ","영해_061,영해_062,영해_071,영해_072,영해_082,울진_076,울진_077,울진_086,울진_087,울진_097",91정-003
1991,양양(철)지구 정밀조사보고서,(양양지구),철,"강원도 양양군 서면 ,강원도 양양군 양양면 ","양양_115,양양_116,양양_125,양양_126",91정-002
1991,양양(철)지구 정밀조사보고서,(양양지구),철,강원도 양양군 강현면 둔전리,"양양_113,양양_114,양양_123,양양_124",91정-001
1990,보은(석탄)광산 정밀조사보고서,보은,석탄,"경상북도 상주시 외서면 ,충청북도 옥천군 청산면 ",,90정-002
1990,호남(석탄)광산 정밀조사보고서,야시대,석탄,"전라남도 강진군 성전면 ,전라남도 강진군 작천면 ",,90정-001
1990,한국규조토(규조토)광산 정밀조사보고서,한국규조토,규조토,경상북도 경주시 양북면 ,"감포_022,감포_023,감포_032,감포_033",90정-002
1990,"영주(규석,장석)지역 정밀조사보고서",(영주지구),"규석,장석",경상북도 영풍군 이산면 ,"영주_031,영주_032,영주_041,영주_042,영주_043",90정-001
1990,연천(티탄철)지구  정밀조사보고서,"금장,기호,연천,은장","아연,연,티탄철","경기도 포천시 관인면 ,경기도 포천시 영북면 ","연천_014,연천_015,연천_016,연천_017,연천_024,연천_025",90정-034
1990,"영중(금,은,동)광산 정밀조사보고서",영중,"금,동,은","경기도 포천시 영중면 금주리,경기도 포천시 일동면 수입리","기산_121,기산_122,기산_123,기산_131,기산_132,기산_133,기산_141,기산_142,기산_143",90정-033
1990,"병천(금,은)광산 정밀조사보고서",병천,"금,은",충청남도 천안시 동남구 병천면 병천리,병천_124,90정-032
1990,"통영(금,은)광산 정밀조사보고서",통영,"금,동,은",경상남도 충무시 동호동 ,"충무_040,충무_050",90정-031
1990,"금룡(금,은)광산 정밀조사보고서",금룡,"금,은",경상북도 칠곡군 동명면 ,대율_080,90정-030
1990,"창금(금,은)광산 정밀조사보고서",창금,"금,은","충청북도 괴산군 사리면 ,충청북도 괴산군 소수면 ",,90정-029
1990,"고명(금,은)광산 정밀조사보고서",고명,"금,아연,연,은",강원도 고성군 현내면 명파리,"고성_068,고성_078",90정-028
1990,"거금(금,은)광산 정밀조사보고서",거금,"금,은",전라남도 고흥군 금산면 어전리,거금도_065,90정-027
1990,"쌍봉(금,은)광산 정밀조사보고서",쌍봉,"금,은",경상남도 거창군 고제면 봉산리,"무풍_088,무풍_089",90정-026
1990,"중앙(금,은)광산 정밀조사보고서",중앙,"금,은",강원도 홍천군 홍천면 삼마치리,,90정-025
1990,"만명(금,은)광산 정밀조사보고서",만명,"금,동,은",충청북도 옥천군 청성면 ,옥천_002,90정-024
