연도,광종분류,광종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2022,비금속광,활석,0,0,0,0,0,0,0,0,0,12,17,7,0,0,2,0
2022,비금속광,운모,0,0,0,0,0,0,0,0,4,19,30,9,1,0,14,2
2022,비금속광,규사,0,0,0,0,0,0,0,0,0,9,0,50,0,11,23,0
2022,비금속광,기타,0,0,0,0,0,0,10,0,1,6,4,4,0,1,50,0
2023,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,1,21,99,63,40,13,25,76,46
2023,금속광,"철,망간",0,0,0,0,0,0,0,0,9,35,1,2,0,0,1,1
2023,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023,금속광,기타,1,0,0,2,0,0,0,0,0,22,9,4,37,1,23,1
2023,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,11,48,8,11,0,0,3,0
2023,비금속광,"규석,장석",0,0,0,8,0,0,0,1,57,89,68,40,59,39,43,14
2023,비금속광,석회석,0,0,0,0,0,0,0,0,3,870,274,20,11,3,53,0
2023,비금속광,"고령토,규조토",0,0,1,0,0,0,13,0,9,45,13,99,51,107,125,196
2023,비금속광,납석,0,1,0,0,0,0,2,0,0,8,5,1,0,23,15,6
2023,비금속광,활석,0,0,0,0,0,0,0,0,0,12,16,6,0,0,2,0
2023,비금속광,운모,0,0,0,0,0,0,0,0,3,12,27,4,1,0,11,2
2023,비금속광,규사,0,0,0,1,0,0,0,0,0,9,0,49,0,11,23,0
2023,비금속광,기타,0,0,0,0,0,0,10,0,0,6,4,3,0,1,49,0
2024,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,1,20,88,54,34,13,22,63,49
2024,금속광,"철,망간",0,0,0,0,0,0,0,0,9,31,1,2,0,0,0,2
2024,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2024,금속광,기타,1,0,0,2,0,0,0,0,1,22,12,4,37,1,23,1
2024,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,11,29,7,10,0,0,3,0
2024,비금속광,"규석,장석",0,0,0,8,0,0,0,1,53,85,67,39,54,37,44,11
2024,비금속광,석회석,0,0,0,0,0,0,0,0,2,891,284,18,9,3,47,0
2024,비금속광,"고령토,규조토",0,0,1,0,0,0,16,2,8,40,12,97,45,102,120,162
2024,비금속광,납석,0,1,0,0,0,0,2,0,0,8,5,1,0,24,15,6
2024,비금속광,활석,0,0,0,0,0,0,0,0,0,12,16,5,0,0,1,0
2024,비금속광,운모,0,0,0,0,0,0,0,0,3,8,25,4,1,0,11,1
2024,비금속광,규사,0,0,0,1,0,0,0,0,0,8,0,49,0,6,23,0
2024,비금속광,기타,0,0,0,0,0,0,10,0,0,6,1,0,0,1,48,0
2025,금속광,"금,은,동,연,아연",0,1,0,0,0,0,0,2,14,80,51,27,9,19,59,49
2025,금속광,"철,망간",0,0,0,0,0,0,0,0,9,24,1,2,0,0,0,2
2025,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2025,금속광,기타,1,0,0,1,0,0,0,0,2,18,10,4,37,1,24,0
2025,비금속광,"석탄,흑연",0,0,0,0,0,0,0,0,7,13,5,6,0,0,1,0
2025,비금속광,"규석,장석",0,0,0,8,0,0,0,1,46,80,64,35,45,39,43,9
2025,비금속광,석회석,0,0,0,0,0,0,0,0,2,865,285,17,9,3,51,0
2025,비금속광,"고령토,규조토",0,0,1,0,0,0,16,2,8,38,10,94,44,94,119,155
2025,비금속광,납석,0,1,0,0,0,0,2,0,0,7,5,0,0,24,14,6
2025,비금속광,활석,0,0,0,0,0,0,0,0,0,11,15,5,0,0,0,0
2025,비금속광,운모,0,0,0,0,0,0,0,0,3,7,25,4,1,0,10,1
2025,비금속광,규사,0,0,0,1,0,0,0,0,0,8,0,50,0,7,23,0
2025,비금속광,기타,0,0,0,0,0,0,10,0,0,6,1,0,0,1,47,0
