공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
180,1966-06-25,충남 서산시 남면,안면도,규사,265,113,2012-06-01~2019-05-31,안면도113
183,2003-08-29,전남 함평군 손불면,망운,규사,59,71,2010-08-30~2017-08-29,망운71
184,2003-08-29,전남 함평군 손불면,망운,규사,3,71,2010-08-30~2017-08-29,망운71
187,1995-09-20,인천시 옹진군 북도면,주문도,티탄철,273,19,2012-09-01~2017-08-31,주문도19
190,2006-05-15,충남 태안군 소원면,이곡,지르코늄,275,147,2013-05-16~2018-05-15,이곡147
191,2010-10-06,전북 부안군 위도면,하왕등도,철광,279,72,2010-10-07~2030-10-06,하왕등도72
192,2010-10-06,전북 부안군 위도면,하왕등도,철광,279,82,2010-10-07~2030-10-06,하왕등도82
193,2011-03-16,전남 고흥군 도덕면,소록도,"금광, 은광, 규석",283,44,2011-03-17~2031-03-16,소록도44
194,2011-03-16,전남 고흥군 도양읍,소록도,"금광, 은광",283,66,2011-03-17~2031-03-16,소록도66
195,2011-10-18,전남 고흥군 풍양면,소록도,"은광, 연광",283,18,2011-10-19~2031-10-18,소록도18
196,2011-11-21,"인천시 강화군 길상면, 인천시 강화군 화도면",온수리,장석,136,14,2011-11-22~2031-11-21,온수리14
197,2011-12-01,"경북 영덕군 축산면, 경북 영덕군 영덕읍",영덕,"금광, 은광",276,42,2011-12-02~2031-12-01,영덕42
198,2011-12-15,강원 삼척군 근덕면,임원진,장석,98,141,2011-12-16~2031-12-15,임원진141
199,2012-01-03,전남 무안군 운남면,무안,고령토,281,84,2012-01-04~2032-01-03,무안84
200,2012-02-06,"충남 보령시 오천면, 충남 보령시 천북면",대천,규석,69,145,2012-02-07~2032-02-06,대천145
201,2013-03-20,전라남도 무안군 운남면,무안,고령토,44,95,2013-03-21~2020-03-20,무안95
202,2013-07-11,경북 포항시 남구 장기면,구룡포,불석,69,135,2013-07-12~2020-07-11,구룡포135
203,2013-09-26,경남 남해군 창선면,남해,"금광, 은광, 연광, 아연광",259,10,2013-09-27~2020-09-26,남해10
204,2013-10-24,"강원 강릉시 강동면, 강원 강릉시 옥계면",묵호,규석,45,121,2013-10-25~2020-10-24,묵호121
205,2014-02-06,인천시 강화군 교동면,강화,규석,67,114,2014-02-07~2021-02-06,강화114
206,2014-02-06,인천시 강화군 교동면,강화,규석,135,124,2014-02-07~2021-02-06,강화124
207,2014-06-03,경남 남해군 서면,서상,철광,281,101,2014-06-04~2021-06-03,서상101
208,2014-07-03,충남 태안군 원북면,서산,규석,275,131,2014-07-04~2021-07-03,서산131
209,2010-10-06,전북 부안군 위도면,하왕등도,철광,274,81,2010-10-07~2030-10-06,하왕등도81
210,2012-10-22,전남 신안군 지도읍,망운,고령토,23,150,2012-10-23~2019-10-22,망운150
211,2014-07-03,"충남 태안군 원북면, 충남 태안군 이원면",서산,규석,35,121,2014-07-04~2021-07-03,서산121
212,2013-10-24,"강원 강릉시 옥계면, 강원 강릉시 강동면",묵호,규석,89,111,2013-10-24~2020-10-23,묵호111
213,2014-05-07,경남 통영시 도산면,충무,고령토,61,85,2014-05-08~2021-05-07,충무85
214,1993-09-27,전남 진도군 군내면,우수영,고령토,29,126,1993-09-28~2018-08-31,우수영126
215,2016-03-28,경상북도 포항시 남구 장기면,구룡포,불석,40,148,2016-03-29~2036-03-28,구룡포148
216,2016-04-01,울산광역시 울주군 서생면,방어진,고령토,70,98,2016-04-02~2036-04-01,방어진98
218,2016-04-26,"강원도 강릉시 강동면, 강원도 강릉시 옥계면",묵호,규석,45,121,2016-04-27~2036-04-26,묵호121
219,2016-07-11,경상북도 포항시 남구 장기면,구룡포,불석,69,147,2016-07-12~2036-07-11,구룡포147
220,2012-02-16,충남 태안군 소원면,모항,규석,68,55,2012-02-17~2032-02-16,모항55
278,2016-04-07,전남 무안군 청계면,무안,장석,33,64,2016-04-08~2023-04-07,무안64
221,2012-04-30,충남 태안군 소원면,모항,규사,34,63,2012-05-01~2019-04-30,모항63
222,2012-06-13,충남 보령시 남포면,남포,규사,277,123,2012-06-14~2019-06-13,남포123
224,2012-11-09,전남 완도군 금당면,거금도,고령토,141,115,2012-11-10~2032-11-09,거금도115
226,2013-06-20,충남 태안군 소원면,모항,철광,270,65,2013-06-21~2033-06-20,모항65
227,2013-07-19,전남 무안군 청계면,무안,장석,81,64,2013-07-20~2033-07-19,무안64
228,2013-07-24,전남 해남군 화원면,목포,고령토,141,98,2013-07-25~2033-07-24,목포98
229,2013-09-09,경북 경주시 양남면,감포,고령토,134,30,2013-09-10~2033-09-09,감포30
230,2014-06-27,경기 안산시 단원구 풍도동,풍도,석회석,68,64,2014-06-28~2034-06-27,풍도64
231,2012-05-02,경북 포항시 남구 장기면,구룡포,불석,69,137,2012-05-03~2019-05-02,구룡포137
232,2012-07-13,충남 보령시,대천,고령토,40,130,2012-07-14~2019-07-13,대천130
233,2012-10-04,전남 신안군 지도읍,무안,고령토,66,141,2012-10-05~2019-10-04,무안141
234,2012-10-17,충남 태안군 근흥면,모항,규석,68,69,2012-10-18~2019-10-17,모항69
235,2012-10-17,충남 태안군 근흥면,모항,규석,85,70,2012-10-18~2019-10-17,모항70
236,2012-11-19,"부산시 수영구, 부산시 남구",부산,"금광, 은광, 동광, 연광, 아연광",253,81,2012-11-20~2019-11-19,부산81
237,2013-03-12,인천광역시 옹진군 자월면,풍도,"금광, 은광, 텅스텐광, 몰리브덴광",273,112,2013-03-13~2020-03-12,풍도112
238,2013-03-12,인천광역시 옹진군 자월면,풍도,"금광, 은광, 텅스텐광, 몰리브덴광",273,113,2013-03-13~2020-03-12,풍도113
239,2013-03-20,전라남도 무안군 운남면,무안,고령토,67,85,2013-03-21~2020-03-20,무안85
240,2001-10-22,전남 해남군 문내면,우수영,고령토,282,124,2001-10-23~2021-10-22,우수영124
241,2000-12-29,"전남 해남군 황산면, 전남 해남군 문내면",우수영,"금, 은",283,87,2000-12-30~2020-12-29,우수영87
242,2000-12-29,전남 해남군 황산면,우수영,"금, 은",283,77,2000-12-30~2020-12-29,우수영77
243,2009-03-27,전남 무안군 해제면,망운,고령토,26,117,2009-03-28~2029-03-27,망운117
244,2003-09-29,전남 무안군 해제면,망운,고령토,281,116,2003-09-30~2023-09-29,망운116
245,2003-09-30,전남 무안군 망운면,망운,고령토,70,80,2003-10-01~2023-09-30,망운80
246,1999-08-13,"전남 무안군 해제면, 전남 영광군 염산면",망운,규사,281,91,2011-08-14~2018-08-13,망운91
247,1979-09-11,전남 무안군 해제면,망운,규사,223,101,2014-09-01~2021-08-31,망운101
248,2001-12-19,전남 무안군 해제면,망운,고령토,197,115,2001-12-20~2021-12-19,망운115
249,2000-06-27,"전남 무안군 해제면, 전남 함평군 손불면",망운,규사,281,82,2014-06-28~2019-06-27,망운82
250,2005-06-15,전남 무안군 망운면,망운,고령토,70,90,2005-06-16~2025-06-15,망운90
251,2004-12-17,전남 무안군 망운면,망운,고령토,70,80,2004-12-18~2024-12-17,망운80
252,2005-07-28,"전남 무안군 망운면, 전남 무안군 운남면",무안,고령토,281,81,2005-07-29~2025-07-28,무안81
253,2005-06-15,전남 무안군 운남면,무안,고령토,281,82,2005-06-16~2025-06-15,무안82
254,2000-04-29,전남 진도군 조도면,지산,"금, 은, 규석",138,122,2000-04-30~2020-04-29,지산122
255,2000-06-30,전남 진도군 조도면,지산,"금, 은",39,123,2000-07-01~2020-06-30,지산123
256,2000-12-19,경기 안산시 풍도동,풍도,규사,274,44,2014-12-20~2021-12-19,풍도44
257,2005-11-21,전북 군산시 옥도면,장자도,고령토,139,21,2005-11-22~2025-11-21,장자도21
258,1994-02-18,전북 고창군 해리면,위도,"고령토, 규석",66,20,1994-02-19~2019-01-31,위도20
259,1994-02-18,전북 고창군 해리면,위도,고령토,70,10,1994-02-19~2019-01-31,위도10
260,1992-11-12,전북 고창군 해리면,법성포,고령토,262,11,1992-11-13~2017-10-31,법성포11
261,1977-04-23,충남 서천군 서면,서천,규사,82,122,2012-04-01~2019-03-31,서천122
262,2015-08-18,강원도 강릉시 강동면,산성우,규석,271,149,2015-08-19~2022-08-18,산성우149
263,2015-09-30,경북 포항시 남구 호미곶면,대보,불석,115,127,2015-09-30~2022-10-01,대보127
264,2015-09-30,"경상북도 포항시 남구 동해면, 경상북도 포항시 남구 호미곶면",대보,불석,69,138,2015-09-30~2022-10-01,대보138
265,2015-11-27,강원도 강릉시 강동면,강릉,규석,271,8,2015-11-28~2022-11-27,강릉8
266,2016-04-26,"강원도 강릉시 강동면, 강원도 강릉시 옥계면",묵호,규석,74,121,2016-04-27~2023-04-26,묵호121
268,2016-06-08,"강원도 강릉시 옥계면, 강원도 강릉시 강동면",묵호,규석,77,111,2016-06-09~2023-06-08,묵호111
269,2016-10-11,강원도 삼척시 근덕면,임원진,"은광, 지르코늄광",85,123,2016-10-12~2023-10-11,임원진123
270,2016-02-03,인천광역시 옹진군 영흥면,영흥도,규석,136,70,2016-02-04~2036-02-03,영흥도70
271,2016-07-06,전라남도 무안군 운남면,무안,고령토,140,112,2016-07-07~2023-07-06,무안112
272,2016-02-25,전남 무안군 해제면,망운,"금광, 은광",172,104,2016-02-26~2023-02-25,망운104
274,2016-07-11,전라남도 해남군 화원면,목포,아연광,282,125,2016-07-12~2036-07-11,목포125
275,2015-09-23,"전남 해남군 현산면, 전남 해남군 북평면",남창,규석,70,86,2015-09-24~2022-09-23,남창86
277,2016-04-21,인천광역시 옹진군 덕적면,선갑도,고령토,68,133,2016-04-22~2036-04-21,선갑도133
279,2015-11-10,인천광역시 강화군 화도면,온수리,장석,61,64,2015-11-11~2022-11-10,온수리64
