공간정보일련번호,지적도명,채굴단위구역등록일자,면적내용,탐사권기간설명내용,광물유형명
415,평해,2017-03-15,60 ha,2017-12-03 ~ 2037-12-02 만 20개년,규사
421,모항,2017-03-03,138 ha,2017-11-01 ~ 2037-10-31 만 20개년,"규사, 세륨"
439,울진,2017-03-27,275 ha,2012-11-01 ~ 2032-10-31 만 20개년,석회석
194,진해,2013-09-06,268 ha,2014-03-01 ~ 2034-02-28 만 20개년,"고령토, 납석"
247,감포,2013-09-09,134 ha,2013-09-10 ~ 2033-09-09 만 20개년,고령토
175,망운,2013-03-13,281 ha,2010-10-09 ~ 2030-10-08 만 20개년,고령토
620,주문진,2013-03-06,51 ha,2013-08-22 ~ 2020-08-21 만 7개년,규사
471,대산,2014-09-19,68 ha,2011-07-13 ~ 2031-07-12 만 20개년,고령토
375,안면도,2012-02-07,276 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
383,안면도,2012-02-07,136 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
384,안면도,2012-02-07,206 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
386,안면도,2012-02-07,276 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
389,안면도,2012-02-07,265 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
393,안면도,2012-02-07,276 ha,2012-06-01 ~ 2019-05-31 만 7개년,규사
150,충무,2017-10-13,61 ha,2017-10-14 ~ 2037-10-13 만 20개년,고령토
452,울진,2013-01-29,275 ha,2013-07-01 ~ 2020-06-30 만 7개년,규사
360,원산도,2012-11-28,277 ha,2013-03-27 ~ 2020-03-26 만 7개년,규사
363,원산도,2012-11-28,276 ha,2013-03-27 ~ 2020-03-26 만 7개년,규사
364,원산도,2012-11-28,276 ha,2013-04-09 ~ 2020-04-08 만 7개년,규사
366,원산도,2012-11-28,276 ha,2013-04-09 ~ 2020-04-08 만 7개년,규사
370,원산도,2012-11-28,237 ha,2013-03-27 ~ 2020-03-26 만 7개년,규사
381,안면도,2012-11-28,235 ha,2013-05-04 ~ 2020-05-03 만 7개년,규사
392,안면도,2012-11-28,276 ha,2013-04-09 ~ 2020-04-08 만 7개년,규사
395,안면도,2012-11-28,259 ha,2013-05-04 ~ 2020-05-03 만 7개년,규사
61,주문진,2013-08-16,68 ha,2014-02-01 ~ 2021-01-31 만 7개년,규사
